case,title,family,method,K,n_train,sample_k,objective_ratio_mean,objective_ratio_se,seed_count
random_lp_D,RandomLP D,random_lp,CostOnly,20,0,20,-0.043099961740195654,0.14681212624493337,2
random_lp_D,RandomLP D,random_lp,CostOnly,20,1,20,0.3741554397473178,0.0758547977348009,2
random_lp_D,RandomLP D,random_lp,CostOnly,20,2,20,0.4323848448577845,0.08123790188624044,2
random_lp_D,RandomLP D,random_lp,CostOnly,20,3,20,0.4680961395023108,0.08559217261519675,2
random_lp_D,RandomLP D,random_lp,CostOnly,20,4,20,0.4880045488669165,0.07960148746823652,2
random_lp_D,RandomLP D,random_lp,CostOnly,20,8,20,0.5600530525530603,0.0811102887082376,2
random_lp_D,RandomLP D,random_lp,CostOnly,20,12,20,0.5843408231807906,0.08387905120464456,2
random_lp_D,RandomLP D,random_lp,CostOnly,20,16,20,0.5982132348241305,0.06743289408613094,2
random_lp_D,RandomLP D,random_lp,CostOnly,20,20,20,0.483925624187419,0.08044352196130443,2
random_lp_D,RandomLP D,random_lp,OursExact,20,0,20,-0.043099961740195654,0.14681212624493337,2
random_lp_D,RandomLP D,random_lp,OursExact,20,1,20,0.9999999999999987,1.3888885600717773e-15,2
random_lp_D,RandomLP D,random_lp,OursExact,20,2,20,0.9999999999999987,1.3888885600717773e-15,2
random_lp_D,RandomLP D,random_lp,OursExact,20,3,20,0.9999999999999987,1.3888885600717773e-15,2
random_lp_D,RandomLP D,random_lp,OursExact,20,4,20,0.9999999999999987,1.3888885600717773e-15,2
random_lp_D,RandomLP D,random_lp,OursExact,20,8,20,0.9999999999999987,1.3888885600717773e-15,2
random_lp_D,RandomLP D,random_lp,OursExact,20,12,20,0.9999999999999987,1.3888885600717773e-15,2
random_lp_D,RandomLP D,random_lp,OursExact,20,16,20,0.9999999999999987,1.3888885600717773e-15,2
random_lp_D,RandomLP D,random_lp,OursExact,20,20,20,0.9999999999999987,1.3888885600717773e-15,2
random_lp_D,RandomLP D,random_lp,PCA,20,0,20,-0.043099961740195654,0.14681212624493337,2
random_lp_D,RandomLP D,random_lp,PCA,20,1,20,-0.042100543576895445,0.14764316239578015,2
random_lp_D,RandomLP D,random_lp,PCA,20,2,20,-0.0430999617401963,0.14681212624493362,2
random_lp_D,RandomLP D,random_lp,PCA,20,3,20,-0.0430999617401963,0.14681212624493362,2
random_lp_D,RandomLP D,random_lp,PCA,20,4,20,-0.0430999617401963,0.14681212624493362,2
random_lp_D,RandomLP D,random_lp,PCA,20,8,20,-0.0430999617401963,0.14681212624493362,2
random_lp_D,RandomLP D,random_lp,PCA,20,12,20,-0.0430999617401963,0.14681212624493362,2
random_lp_D,RandomLP D,random_lp,PCA,20,16,20,-0.0430999617401963,0.14681212624493362,2
random_lp_D,RandomLP D,random_lp,PCA,20,20,20,-0.0430999617401963,0.14681212624493362,2
random_lp_D,RandomLP D,random_lp,SGA,20,0,20,-0.043099961740195654,0.14681212624493337,2
random_lp_D,RandomLP D,random_lp,SGA,20,1,20,0.035474378268321845,0.15813910547190055,2
random_lp_D,RandomLP D,random_lp,SGA,20,2,20,0.07228493988046665,0.15408920202378856,2
random_lp_D,RandomLP D,random_lp,SGA,20,3,20,0.10016180696682214,0.15660013077167806,2
random_lp_D,RandomLP D,random_lp,SGA,20,4,20,0.11589673183997955,0.16573930255537372,2
random_lp_D,RandomLP D,random_lp,SGA,20,8,20,0.19141331335227696,0.11946942701007464,2
random_lp_D,RandomLP D,random_lp,SGA,20,12,20,0.20297858473716895,0.10923070313259464,2
random_lp_D,RandomLP D,random_lp,SGA,20,16,20,0.20545815455751937,0.10395833502692527,2
random_lp_D,RandomLP D,random_lp,SGA,20,20,20,0.21927562996025773,0.09510830633754173,2
sc205,SC205,netlib,CostOnly,20,0,20,0.0,0.0,2
sc205,SC205,netlib,CostOnly,20,1,20,1.3873922744031417e-08,5.86336049361868e-12,2
