method,K,instance,objective,full_objective,objective_ratio,time,success,case,title,family,intrinsic_K,message
Rand,50,packing_test_00011,36.47004714926828,230.9602508662536,0.1579061635605326,0.0033054999075829,1.0,packing,Packing,packing,,
Rand,50,packing_test_00000,91.3528796889572,233.265568273414,0.3916260782297761,0.0037544000661,1.0,packing,Packing,packing,,
Rand,50,packing_test_00001,92.09489689322776,229.78207164671875,0.4007923517846083,0.0035634000087156,1.0,packing,Packing,packing,,
Rand,50,packing_test_00002,92.14793898351202,231.24999524898823,0.398477582169443,0.0043787000468,1.0,packing,Packing,packing,,
Rand,50,packing_test_00003,91.86911068673712,232.05269552777483,0.3958976235022494,0.0036934999516233,1.0,packing,Packing,packing,,
Rand,50,packing_test_00004,91.88615303935516,230.3178565095968,0.3989536653035258,0.0060998999979346,1.0,packing,Packing,packing,,
Rand,50,packing_test_00005,91.87251738327105,231.347256450289,0.3971195457120635,0.0063426999840885,1.0,packing,Packing,packing,,
Rand,50,packing_test_00006,91.68203686852584,231.39856840294945,0.3962083149489236,0.0040181999793276,1.0,packing,Packing,packing,,
Rand,50,packing_test_00007,92.42719260610272,229.4264603199824,0.4028619561893339,0.0033404000569134,1.0,packing,Packing,packing,,
Rand,50,packing_test_00008,91.40603086847447,230.84790939045772,0.3959578023029426,0.0059963000239804,1.0,packing,Packing,packing,,
Rand,50,packing_test_00009,92.21495867694964,230.22174634721085,0.4005484283742461,0.0031862999312579,1.0,packing,Packing,packing,,
Rand,50,packing_test_00010,92.30576537228278,230.09828997400095,0.401157980716469,0.0031293000793084,1.0,packing,Packing,packing,,
